1.000105734000000135e+00,1.600000000000000089e+00
2.000283763000000103e+00,1.320000000000000062e+00
3.000444879999999870e+00,1.520000000000000018e+00
4.000601086000000528e+00,1.469999999999999973e+00
5.000761811000000279e+00,1.340000000000000080e+00
6.000941557999999176e+00,5.600000000000000533e-01
7.001107659999999733e+00,2.029999999999999805e+00
8.001273745000000659e+00,2.279999999999999805e+00
9.001429157000000458e+00,2.729999999999999982e+00
1.000157711099999958e+01,2.520000000000000018e+00
1.100172351599999843e+01,1.889999999999999902e+00
1.200187320900000110e+01,1.629999999999999893e+00
1.300203527799999925e+01,1.290000000000000036e+00
1.400218960400000157e+01,1.889999999999999902e+00
1.500235250799999953e+01,1.149999999999999911e+00
1.600252046600000000e+01,1.719999999999999973e+00
1.700268604100000047e+01,1.719999999999999973e+00
1.800285074099999960e+01,1.310000000000000053e+00
1.900300900499999912e+01,6.199999999999999956e-01
2.000318393099999881e+01,3.200000000000000067e-01
2.100335065700000214e+01,4.799999999999999822e-01
2.200350348099999920e+01,1.010000000000000009e+00
2.300365517800000248e+01,1.919999999999999929e+00
2.400380982000000074e+01,1.000000000000000000e+00
2.500397319400000029e+01,1.000000000000000000e+00
2.600413382500000026e+01,1.209999999999999964e+00
2.700429073699999805e+01,8.800000000000000044e-01
2.800444873699999704e+01,1.469999999999999973e+00
2.900461129400000004e+01,1.159999999999999920e+00
3.000477039500000132e+01,1.479999999999999982e+00
3.100494673699999737e+01,1.389999999999999902e+00
3.115364620400000106e+01,1.600000000000000033e-01
